code	uic	naam	middel_naam	korte_naam	rdt_url	type	geo_lat	geo_lng
ac	8400047	Abcoude	Abcoude	Abcoude	abcoude	stoptreinstation	52.2785	4977
ah	8400071	Arnhem	Arnhem	Arnhem	arnhem	knooppuntintercitystation	51985	5.8991666
ahp	8400072	Arnhem Velperpoort	Velperpoort	Velperprt	arnhem-velperpoort	stoptreinstation	51.98528	5.9194446
ahpr	8400075	Arnhem Presikhaaf	Presikhaaf	Presikhaaf	arnhem-presikhaaf	stoptreinstation	51.988056	5.9438887
ahz	8400227	Arnhem Zuid	Arnhem Zuid	Arnhem Z	arnhem-zuid	stoptreinstation	51955	5.8519444
akl	8400068	Arkel	Arkel	Arkel	arkel	stoptreinstation	51.871944	4.992778
akm	8400049	Akkrum	Akkrum	Akkrum	akkrum	stoptreinstation	53.04639	5.8436112
alm	8400080	Almere Centrum	Almere C.	Almere C	almere-centrum	knooppuntintercitystation	52.37503	5.21764
almb	8400081	Almere Buiten	Almere Buiten	Buiten	almere-buiten	stoptreinstation	52.394165	5.2780557
almm	8400082	Almere Muziekwijk	Muziekwijk	Muziekwijk	almere-muziekwijk	stoptreinstation	52.3675	5.1902776
almo	8400226	Almere Oostvaarders	Oostvaarders	Oostvaard	almere-oostvaarders	stoptreinstation	52.40333	5.3005557
almp	8400104	Almere Parkwijk	Parkwijk	Parkwijk	almere-parkwijk	stoptreinstation	52.376667	5.2447224
amf	8400055	Amersfoort	Amersfoort	Amersfoort	amersfoort	knooppuntintercitystation	52.15389	5.3705554
amfs	8400054	Amersfoort Schothorst	Schothorst	Schothorst	amersfoort-schothorst	stoptreinstation	52.174824	5.4038887
aml	8400051	Almelo	Almelo	Almelo	almelo	knooppuntintercitystation	52.358055	6.6538887
amr	8400050	Alkmaar	Alkmaar	Alkmaar	alkmaar	knooppuntintercitystation	52.63778	4.7397223
amri	8400520	Almelo de Riet	Almelo de Riet	de Riet	almelo-de-riet	stoptreinstation	52.341946	6.6666665
amrn	8400052	Alkmaar Noord	Alkmaar Noord	Alkmaar N	alkmaar-noord	stoptreinstation	52.64389	4.764167
ana	8400065	Anna Paulowna	Anna Paulowna	Anna Paulo	anna-paulowna	stoptreinstation	52.86722	4.811111
apd	8400066	Apeldoorn	Apeldoorn	Apeldoorn	apeldoorn	knooppuntintercitystation	52.209167	5.970278
apdm	8400233	Apeldoorn De Maten	De Maten	De Maten	apeldoorn-de-maten	stoptreinstation	52.205276	6.0005555
apdo	8400229	Apeldoorn Osseveld	Osseveld	Osseveld	apeldoorn-osseveld	stoptreinstation	52.21528	6.0044446
apg	8400067	Appingedam	Appingedam	Appingedam	appingedam	stoptreinstation	53.325813	6.8619576
apn	8400053	Alphen a/d Rijn	Alphen a/d Rijn	Alphen	alphen-a-d-rijn	knooppuntintercitystation	52.124443	4.657778
arn	8400069	Arnemuiden	Arnemuiden	Arnemuiden	arnemuiden	stoptreinstation	51.501667	3.6691666
